BDID	EGID	TAXID	SYMBOL	DESCRIPTION	HOMOLOGENE
1425517_s_at	108155	10090	Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	9675
1437637_at	68770	10090	Phtf2	putative homeodomain transcription factor 2	10713
1434551_at	68693	10090	Hnrnpul2	heterogeneous nuclear ribonucleoprotein U-like 2	28583
1452737_at	75616	10090	Smim15	small integral membrane protein 15	90075
1436188_a_at	234593	10090	Ndrg4	N-myc downstream regulated gene 4	23228
1417466_at	19737	10090	Rgs5	regulator of G-protein signaling 5	2682
1428167_a_at	68481	10090	Mpzl1	myelin protein zero-like 1	2939
1450865_s_at	64660	10090	Mrps24	mitochondrial ribosomal protein S24	57043
1423256_a_at	66290	10090	Atp6v1g1	ATPase, H+ transporting, lysosomal V1 subunit G1	31272
1452821_at	21843	10090	Tial1	Tia1 cytotoxic granule-associated RNA binding protein-like 1	87796
1433481_at	231997	10090	Fkbp14	FK506 binding protein 14	23059
1425473_at	234959	10090	Med17	mediator complex subunit 17	3151
1451463_at	109270	10090	Prr5	proline rich 5 (renal)	17132
1441266_at	94186	10090	Strn3	striatin, calmodulin binding protein 3	82078
1433804_at	16451	10090	Jak1	Janus kinase 1	1678
1425668_a_at	20443	10090	St3gal4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	4572
1450069_a_at	14007	10090	Celf2	CUGBP, Elav-like family member 2	4783
1428531_at	77065	10090	Ints7	integrator complex subunit 7	9136
1451602_at	72183	10090	Snx6	sorting nexin 6	12304
1428052_a_at	68310	10090	Zmym1	zinc finger, MYM domain containing 1	32904
1455401_at	207565	10090	Camkk2	calcium/calmodulin-dependent protein kinase kinase 2, beta	32756
1416614_at	58521	10090	Eid1	EP300 interacting inhibitor of differentiation 1	49376
1418298_s_at	26757	10090	Dpysl4	dihydropyrimidinase-like 4	4691
1428197_at	109246	10090	Tspan9	tetraspanin 9	4860
1427742_a_at	23849	10090	Klf6	Kruppel-like factor 6	996
1433537_at	22589	10090	Atrx	ATRX, chromatin remodeler	416
1451264_at	319710	10090	Frmd6	FERM domain containing 6	12449
1448484_at	11702	10090	Amd1	S-adenosylmethionine decarboxylase 1	1235
1426373_at	20481	10090	Ski	ski sarcoma viral oncogene homolog (avian)	31124
1416301_a_at	13591	10090	Ebf1	early B cell factor 1	7297
1433598_at	234023	10090	Arglu1	arginine and glutamate rich 1	9960
1437667_a_at	12014	10090	Bach2	BTB and CNC homology, basic leucine zipper transcription factor 2	7240
1456310_a_at	67513	10090	Faap20	Fanconi anemia core complex associated protein 20	18793
1416665_at	12850	10090	Coq7	demethyl-Q 7	6953
1417794_at	56364	10090	Zmym3	zinc finger, MYM-type 3	3736
1419292_at	78558	10090	Htra3	HtrA serine peptidase 3	12697
1421855_at	14190	10090	Fgl2	fibrinogen-like protein 2	4864
1433519_at	98415	10090	Nucks1	nuclear casein kinase and cyclin-dependent kinase substrate 1	23377
1431746_a_at	22200	10090	Uba3	ubiquitin-like modifier activating enzyme 3	2951
1428674_at	66921	10090	Prpf38b	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	9986
1423490_at	57443	10090	Fbxo3	F-box protein 3	8133
1450714_at	54375	10090	Azin1	antizyme inhibitor 1	22933
1438680_at	319974	10090	Auts2	autism susceptibility candidate 2	22907
1416330_at	12520	10090	Cd81	CD81 antigen	20915
1437026_at	272027	10090	Tstd2	thiosulfate sulfurtransferase (rhodanese)-like domain containing 2	16403
1428171_at	328110	10090	Prpf39	pre-mRNA processing factor 39	32377
1451225_at	19247	10090	Ptpn11	protein tyrosine phosphatase, non-receptor type 11	2122
1423039_a_at	66882	10090	Bzw1	basic leucine zipper and W2 domains 1	41651
1423513_at	75089	10090	Uhrf1bp1l	UHRF1 (ICBP90) binding protein 1-like	12590
1428930_at	382245	10090	Tmem29	transmembrane protein 29	136288
1415881_at	66092	10090	Ghitm	growth hormone inducible transmembrane protein	8667
1421171_at	11489	10090	Adam12	a disintegrin and metallopeptidase domain 12 (meltrin alpha)	74862
1454659_at	320685	10090	Dctd	dCMP deaminase	55618
1417772_at	76238	10090	Grhpr	glyoxylate reductase/hydroxypyruvate reductase	49088
1450931_at	105445	10090	Dock9	dedicator of cytokinesis 9	41026
1436705_at	236792	10090	Mmgt1	membrane magnesium transporter 1	15570
1438178_x_at	108888	10090	Atad3a	ATPase family, AAA domain containing 3A	10059
1435880_at	99696	10090	Ankrd50	ankyrin repeat domain 50	129859
1428193_at	22284	10090	Usp9x	ubiquitin specific peptidase 9, X chromosome	3418
1423911_at	226849	10090	Ppp2r5a	protein phosphatase 2, regulatory subunit B', alpha	55961
1449084_s_at	27059	10090	Sh3d19	SH3 domain protein D19	19064
1417768_at	67452	10090	Pnpla8	patatin-like phospholipase domain containing 8	12136
1416256_a_at	22154	10090	Tubb5	tubulin, beta 5 class I	69099
1416844_at	15468	10090	Prmt2	protein arginine N-methyltransferase 2	55587
1455916_at	102182	10090	Prmt9	protein arginine methyltransferase 9	16298
1455899_x_at	12702	10090	Socs3	suppressor of cytokine signaling 3	2941
1434968_a_at	74117	10090	Actr3	ARP3 actin-related protein 3	68483
1449188_at	59090	10090	Midn	midnolin	32510
1454919_at	18108	10090	Nmt2	N-myristoyltransferase 2	101539
1460168_at	20492	10090	Slbp	stem-loop binding protein	31389
1419879_s_at	217069	10090	Trim25	tripartite motif-containing 25	48325
1420585_a_at	83454	10090	Nxf2	nuclear RNA export factor 2	88604
1424400_a_at	107747	10090	Aldh1l1	aldehyde dehydrogenase 1 family, member L1	122031
1433935_at	100504230	10090	AU020206	expressed sequence AU020206	-
1419583_at	12418	10090	Cbx4	chromobox 4	2712
1452024_a_at	16825	10090	Ldb1	LIM domain binding 1	2891
1425036_a_at	233833	10090	Tnrc6a	trinucleotide repeat containing 6a	41399
1426351_at	15510	10090	Hspd1	heat shock protein 1 (chaperonin)	1626
1434144_s_at	76773	10090	Wdyhv1	WDYHV motif containing 1	9968
1423608_at	16431	10090	Itm2a	integral membrane protein 2A	31269
1417378_at	54725	10090	Cadm1	cell adhesion molecule 1	8641
1456245_x_at	22319	10090	Vamp3	vesicle-associated membrane protein 3	3511
1426247_at	223255	10090	Stk24	serine/threonine kinase 24	20793
1435163_at	208292	10090	Zfp871	zinc finger protein 871	138401
1416702_at	20713	10090	Serpini1	serine (or cysteine) peptidase inhibitor, clade I, member 1	21045
1435547_at	239719	10090	Mkl2	MKL/myocardin-like 2	40917
1417202_s_at	22200	10090	Uba3	ubiquitin-like modifier activating enzyme 3	2951
1434828_at	329739	10090	Fam102b	family with sequence similarity 102, member B	46568
1436545_at	207521	10090	Dtx4	deltex 4, E3 ubiquitin ligase	27781
1435247_at	66663	10090	Uba5	ubiquitin-like modifier activating enzyme 5	11738
1428491_at	69456	10090	Commd10	COMM domain containing 10	9404
1426933_at	108737	10090	Oxsr1	oxidative-stress responsive 1	31288
1448126_at	56306	10090	Fam60a	family with sequence similarity 60, member A	10494
1423436_at	14859	10090	Gsta3	glutathione S-transferase, alpha 3	37355
1434105_at	77781	10090	Epm2aip1	EPM2A (laforin) interacting protein 1	8875
1454709_at	100201	10090	Tmem64	transmembrane protein 64	45636
1451386_at	233016	10090	Blvrb	biliverdin reductase B (flavin reductase (NADPH))	573
1417972_s_at	117109	10090	Pop5	processing of precursor 5, ribonuclease P/MRP family (S. cerevisiae)	41076
1416366_at	68197	10090	Ndufc2	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2	3344
1416366_at	102641347	10090	LOC102641347	NADH dehydrogenase [ubiquinone] 1 subunit C2	-
1454606_at	217684	10090	Susd6	sushi domain containing 6	40980
1426285_at	16773	10090	Lama2	laminin, alpha 2	37306
1417953_at	27999	10090	Fam3c	family with sequence similarity 3, member C	8926
1433679_at	320267	10090	Fubp3	far upstream element (FUSE) binding protein 3	45954
1428248_at	74164	10090	Nfx1	nuclear transcription factor, X-box binding 1	1875
1416565_at	110323	10090	Cox6b1	cytochrome c oxidase, subunit VIb polypeptide 1	39658
1452595_at	240913	10090	Adamts4	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4	36169
1435382_at	17984	10090	Ndn	necdin	20559
1450957_a_at	18412	10090	Sqstm1	sequestosome 1	31202
1424144_at	67177	10090	Cdt1	chromatin licensing and DNA replication factor 1	32650
1433770_at	12934	10090	Dpysl2	dihydropyrimidinase-like 2	74392
1460513_a_at	13617	10090	Ednra	endothelin receptor type A	1478
1422595_s_at	66641	10090	Sike1	suppressor of IKBKE 1	32622
1454992_at	11987	10090	Slc7a1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	20658
1456335_at	226866	10090	Sbspon	somatomedin B and thrombospondin, type 1 domain containing	45950
1443847_x_at	-	-	-	-	-
1449324_at	50527	10090	Ero1l	ERO1-like (S. cerevisiae)	49392
1423074_at	66890	10090	Lman2	lectin, mannose-binding 2	4962
1416514_a_at	14086	10090	Fscn1	fascin actin-bundling protein 1	48164
1451368_at	208211	10090	Alg1	asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)	5387
1420855_at	13717	10090	Eln	elastin	-
1422609_at	59046	10090	Arpp19	cAMP-regulated phosphoprotein 19	21318
1415972_at	17118	10090	Marcks	myristoylated alanine rich protein kinase C substrate	-
1421059_a_at	56737	10090	Alg2	asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)	5930
1417045_at	12122	10090	Bid	BH3 interacting domain death agonist	923
1437253_at	211922	10090	Dennd6a	DENN/MADD domain containing 6A	13503
1423234_at	66998	10090	Psmd5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	37999
1435458_at	18712	10090	Pim1	proviral integration site 1	11214
1427382_a_at	20937	10090	Suv39h1	suppressor of variegation 3-9 homolog 1 (Drosophila)	2388
1428381_a_at	66496	10090	Ppdpf	pancreatic progenitor cell differentiation and proliferation factor	11511
1427086_at	-	-	-	-	-
1420505_a_at	20910	10090	Stxbp1	syntaxin binding protein 1	2382
1418152_at	50887	10090	Hmgn5	high-mobility group nucleosome binding domain 5	137317
1423170_at	24074	10090	Taf7	TATA-box binding protein associated factor 7	133942
1434758_at	78892	10090	Crispld2	cysteine-rich secretory protein LCCL domain containing 2	41792
1416939_at	67895	10090	Ppa1	pyrophosphatase (inorganic) 1	5356
1455184_at	68473	10090	Mob1b	MOB kinase activator 1B	61676
1452233_at	17250	10090	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	133779
1423852_at	219134	10090	Shisa2	shisa family member 2	17078
1416950_at	106869	10090	Tnfaip8	tumor necrosis factor, alpha-induced protein 8	8649
1455050_at	320736	10090	Vstm4	V-set and transmembrane domain containing 4	18707
1450054_at	11518	10090	Add1	adducin 1 (alpha)	22758
1426380_at	75705	10090	Eif4b	eukaryotic translation initiation factor 4B	83162
1425977_a_at	20874	10090	Slk	STE20-like kinase	22515
1437033_a_at	27401	10090	Skp2	S-phase kinase-associated protein 2 (p45)	55942
1429295_s_at	69716	10090	Trip13	thyroid hormone receptor interactor 13	3125
1454654_at	224132	10090	Dirc2	disrupted in renal carcinoma 2 (human)	13137
1420851_at	93737	10090	Pard6g	par-6 family cell polarity regulator gamma	36487
1435828_at	17132	10090	Maf	avian musculoaponeurotic fibrosarcoma oncogene homolog	74552
1435828_at	102641248	-	-	-	-
1449026_at	15975	10090	Ifnar1	interferon (alpha and beta) receptor 1	524
1434108_at	225055	10090	Fbxo11	F-box protein 11	11843
1418084_at	18186	10090	Nrp1	neuropilin 1	2876
1450685_at	59046	10090	Arpp19	cAMP-regulated phosphoprotein 19	21318
1415767_at	228994	10090	Ythdf1	YTH domain family 1	9844
1418659_at	12753	10090	Clock	circadian locomotor output cycles kaput	3603
1421135_a_at	69125	10090	Cnot8	CCR4-NOT transcription complex, subunit 8	48304
1421074_at	13123	10090	Cyp7b1	cytochrome P450, family 7, subfamily b, polypeptide 1	3544
1417279_at	16438	10090	Itpr1	inositol 1,4,5-trisphosphate receptor 1	1673
1423909_at	66058	10090	Tmem176a	transmembrane protein 176A	10224
1455727_at	22184	10090	Zrsr2	zinc finger (CCCH type), RNA binding motif and serine/arginine rich 2	21061
1434824_at	22385	10090	Baz1b	bromodomain adjacent to zinc finger domain, 1B	22651
1460547_a_at	15387	10090	Hnrnpk	heterogeneous nuclear ribonucleoprotein K	81909
1434570_at	331623	10090	Bend3	BEN domain containing 3	19511
1456056_a_at	28006	10090	Washc2	WASH complex subunit 2	41686
1455006_at	101055854	10090	Gm29733	predicted gene, 29733	-
1455006_at	66379	10090	Cox14	cytochrome c oxidase assembly protein 14	50025
1425887_at	74720	10090	Tmem114	transmembrane protein 114	12583
1448737_at	21912	10090	Tspan7	tetraspanin 7	20967
1460565_at	98396	10090	Slc41a1	solute carrier family 41, member 1	14871
1422487_at	17128	10090	Smad4	SMAD family member 4	31310
1426765_at	99311	10090	Commd7	COMM domain containing 7	24933
1422490_at	12175	10090	Bnip2	BCL2/adenovirus E1B interacting protein 2	3194
1452843_at	16195	10090	Il6st	interleukin 6 signal transducer	1645
1416923_a_at	100043324	10090	Bnip3l-ps	BCL2/adenovirus E1B interacting protein 3-like, pseudogene	3195
1416923_a_at	12177	10090	Bnip3l	BCL2/adenovirus E1B interacting protein 3-like	3195
1437593_x_at	11800	10090	Api5	apoptosis inhibitor 5	4809
1453118_s_at	19934	10090	Rpl22	ribosomal protein L22	37378
1435527_at	18029	10090	Nfic	nuclear factor I/C	4088
1448938_at	68240	10090	Rpa3	replication protein A3	68285
1415985_at	101943	10090	Sf3b3	splicing factor 3b, subunit 3	6579
1454650_at	66854	10090	Trim35	tripartite motif-containing 35	134331
1424821_at	65113	10090	Ndfip1	Nedd4 family interacting protein 1	12730
1425364_a_at	17254	10090	Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	1795
1456174_x_at	17988	10090	Ndrg1	N-myc downstream regulated gene 1	55953
1435118_at	381802	10090	Tsen2	tRNA splicing endonuclease subunit 2	41622
1415688_at	67128	10090	Ube2g1	ubiquitin-conjugating enzyme E2G 1	2508
1434524_at	108067	10090	Eif2b3	eukaryotic translation initiation factor 2B, subunit 3	7005
1450911_at	19035	10090	Ppib	peptidylprolyl isomerase B	726
1455663_at	244198	10090	Olfml1	olfactomedin-like 1	45688
1433994_at	233103	10090	4931406P16Rik	RIKEN cDNA 4931406P16 gene	8795
1448252_a_at	55949	10090	Eef1b2	eukaryotic translation elongation factor 1 beta 2	1480
1416303_at	56722	10090	Litaf	LPS-induced TN factor	37974
1428262_s_at	627828	10090	Gm6793	heterogeneous nuclear ribonucleoprotein A3 pseudogene	-
1428262_s_at	229279	10090	Hnrnpa3	heterogeneous nuclear ribonucleoprotein A3	138303
1423531_a_at	654467	10090	Gm10052	heterogeneous nuclear ribonucleoprotein A1 pseudogene	-
1423531_a_at	15382	10090	Hnrnpa1	heterogeneous nuclear ribonucleoprotein A1	134628
1423531_a_at	434858	10090	Gm5643	heterogeneous nuclear ribonucleoprotein A1 pseudogene	-
1423531_a_at	545091	10090	Hnrnpa1l2-ps2	heterogeneous nuclear ribonucleoprotein A1-like 2, pseudogene 2	134075
1425492_at	12166	10090	Bmpr1a	bone morphogenetic protein receptor, type 1A	20911
1417409_at	16476	10090	Jun	jun proto-oncogene	1679
1423063_at	13435	10090	Dnmt3a	DNA methyltransferase 3A	7294
1424420_at	72278	10090	Ccpg1	cell cycle progression 1	3487
1416150_a_at	20383	10090	Srsf3	serine/arginine-rich splicing factor 3	55708
1428500_at	16974	10090	Lrp6	low density lipoprotein receptor-related protein 6	1747
1437687_x_at	27055	10090	Fkbp9	FK506 binding protein 9	31434
1419593_at	268527	10090	Greb1	gene regulated by estrogen in breast cancer protein	8780
1437901_a_at	218035	10090	Vps41	VPS41 HOPS complex subunit	69165
1416904_at	56758	10090	Mbnl1	muscleblind like splicing factor 1	23186
1425505_at	107589	10090	Mylk	myosin, light polypeptide kinase	14202
1455643_s_at	104662	10090	Tsr1	TSR1 20S rRNA accumulation	5576
1437626_at	12193	10090	Zfp36l2	zinc finger protein 36, C3H type-like 2	5027
1448645_at	17692	10090	Msl3	male-specific lethal 3 homolog (Drosophila)	40749
1437343_x_at	108888	10090	Atad3a	ATPase family, AAA domain containing 3A	10059
1416176_at	619937	10090	Hmgb1-ps10	high mobility group box1, pseudogene 10	138962
1416176_at	15289	10090	Hmgb1	high mobility group box 1	135819
1416176_at	100862258	10090	Gm21596	predicted gene, 21596	135819
1423747_a_at	228026	10090	Pdk1	pyruvate dehydrogenase kinase, isoenzyme 1	134437
1417007_a_at	20479	10090	Vps4b	vacuolar protein sorting 4B	37976
1452226_at	108911	10090	Rcc2	regulator of chromosome condensation 2	10282
1453155_at	71817	10090	Tmem50a	transmembrane protein 50A	4469
1416125_at	14229	10090	Fkbp5	FK506 binding protein 5	3038
1455815_a_at	54401	10090	Ywhab	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	20724
1435867_at	338523	10090	Kdm7a	lysine (K)-specific demethylase 7A	25281
1455521_at	16597	10090	Klf12	Kruppel-like factor 12	21417
1437291_at	108899	10090	2700081O15Rik	RIKEN cDNA 2700081O15 gene	52179
1434897_a_at	11739	10090	Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4	36058
1415952_at	13728	10090	Mark2	MAP/microtubule affinity regulating kinase 2	69013
1452905_at	17263	10090	Meg3	maternally expressed 3	-
1448324_at	19826	10090	Rnps1	ribonucleic acid binding protein S1	40648
1453556_x_at	673094	10090	Cd99	CD99 antigen	-
1416129_at	74155	10090	Errfi1	ERBB receptor feedback inhibitor 1	10344
1450117_at	21415	10090	Tcf7l1	transcription factor 7 like 1 (T cell specific, HMG box)	7563
1420786_a_at	100042849	10090	Gm4064	predicted gene 4064	136626
1420786_a_at	100862383	10090	Gm21693	predicted gene, 21693	136626
1420786_a_at	100862365	10090	Gm21677	predicted gene, 21677	136626
1420786_a_at	19657	10090	Rbmy	RNA binding motif protein, Y chromosome	136626
1420786_a_at	100862394	10090	Gm21704	predicted gene, 21704	136626
1420786_a_at	100042874	10090	Gm10256	predicted gene 10256	136626
1420786_a_at	100042881	10090	Gm10352	predicted gene 10352	136626
1420786_a_at	100862398	10090	Gm21708	predicted gene, 21708	136626
1415700_a_at	67437	10090	Ssr3	signal sequence receptor, gamma	5154
1423432_at	83946	10090	Phip	pleckstrin homology domain interacting protein	41209
1447624_s_at	71069	10090	Stox2	storkhead box 2	18414
1420622_a_at	15481	10090	Hspa8	heat shock protein 8	68524
1418813_at	268591	10090	Serpina5	serine (or cysteine) peptidase inhibitor, clade A, member 5	20159
1417646_a_at	69178	10090	Snx5	sorting nexin 5	40944
1449664_s_at	109331	10090	Rnf20	ring finger protein 20	5571
1456700_x_at	17118	10090	Marcks	myristoylated alanine rich protein kinase C substrate	-
1416793_at	56298	10090	Atl2	atlastin GTPase 2	56949
1437992_x_at	14609	10090	Gja1	gap junction protein, alpha 1	136
1418443_at	103573	10090	Xpo1	exportin 1	2554
1434891_at	19221	10090	Ptgfrn	prostaglandin F2 receptor negative regulator	7908
1415834_at	67603	10090	Dusp6	dual specificity phosphatase 6	55621
1418654_at	56185	10090	Hao2	hydroxyacid oxidase 2	97412
1434644_at	21372	10090	Tbl1x	transducin (beta)-like 1 X-linked	4128
1438625_s_at	18555	10090	Cdk16	cyclin-dependent kinase 16	7878
1449567_at	83553	10090	Tktl1	transketolase-like 1	8169
1416807_at	66483	10090	Rpl36al	ribosomal protein L36A-like	133572
1416807_at	19982	10090	Rpl36a	ribosomal protein L36A	136129
1450845_a_at	66882	10090	Bzw1	basic leucine zipper and W2 domains 1	41651
1434703_at	54616	10090	Extl3	exostoses (multiple)-like 3	1103
1455352_at	67958	10090	U2surp	U2 snRNP-associated SURP domain containing	13964
1423413_at	17988	10090	Ndrg1	N-myc downstream regulated gene 1	55953
1418932_at	18030	10090	Nfil3	nuclear factor, interleukin 3, regulated	3928
1422823_at	13860	10090	Eps8	epidermal growth factor receptor pathway substrate 8	3272
1455839_at	102642250	-	-	-	-
1455839_at	320011	10090	Uggt1	UDP-glucose glycoprotein glucosyltransferase 1	10586
1436898_at	71514	10090	Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	3714
1416766_at	67247	10090	Marc2	mitochondrial amidoxime reducing component 2	9904
1451238_at	104771	10090	Jkamp	JNK1/MAPK8-associated membrane protein	9524
1423744_x_at	26905	10090	Eif2s3x	eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked	90888
1416276_a_at	20102	10090	Rps4x	ribosomal protein S4, X-linked	133576
1422456_at	18195	10090	Nsf	N-ethylmaleimide sensitive fusion protein	4502
1426962_at	228829	10090	Phf20	PHD finger protein 20	9507
1451240_a_at	109801	10090	Glo1	glyoxalase 1	4880
1423195_at	15247	10090	Mfsd14a	major facilitator superfamily domain containing 14A	22456
1452169_a_at	104418	10090	Dgkz	diacylglycerol kinase zeta	37831
1423265_at	17330	10090	Minpp1	multiple inositol polyphosphate histidine phosphatase 1	37980
1455159_at	72993	10090	Appl1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	32143
1417307_at	13405	10090	Dmd	dystrophin, muscular dystrophy	20856
1424277_at	73738	10090	Haus7	HAUS augmin-like complex, subunit 7	12513
1423046_s_at	68092	10090	Ncbp2	nuclear cap binding protein subunit 2	56377
1433642_at	218639	10090	Arl15	ADP-ribosylation factor-like 15	56843
1423754_at	66141	10090	Ifitm3	interferon induced transmembrane protein 3	136199
1452250_a_at	12834	10090	Col6a2	collagen, type VI, alpha 2	1392
1425108_a_at	207818	10090	Smagp	small cell adhesion glycoprotein	83495
1437463_x_at	21810	10090	Tgfbi	transforming growth factor, beta induced	37294
1452770_at	27973	10090	Vkorc1	vitamin K epoxide reductase complex, subunit 1	11416
1418168_at	142682	10090	Zcchc14	zinc finger, CCHC domain containing 14	9037
1456060_at	17132	10090	Maf	avian musculoaponeurotic fibrosarcoma oncogene homolog	74552
1433575_at	20677	10090	Sox4	SRY (sex determining region Y)-box 4	2338
1424182_at	110446	10090	Acat1	acetyl-Coenzyme A acetyltransferase 1	6
1434041_at	66884	10090	Appbp2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	31378
1431335_a_at	67866	10090	Wfdc1	WAP four-disulfide core domain 1	10920
1434080_at	11569	10090	Aebp2	AE binding protein 2	40690
1437984_x_at	53817	10090	Ddx39b	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B	48376
1431420_s_at	66494	10090	Prelid1	PRELI domain containing 1	40859
1451204_at	71145	10090	Scara5	scavenger receptor class A, member 5	12556
1455235_x_at	16832	10090	Ldhb	lactate dehydrogenase B	55647
1452774_at	627828	10090	Gm6793	heterogeneous nuclear ribonucleoprotein A3 pseudogene	-
1452774_at	229279	10090	Hnrnpa3	heterogeneous nuclear ribonucleoprotein A3	138303
1431177_a_at	19896	10090	Rpl10a	ribosomal protein L10A	68543
1426236_a_at	14645	10090	Glul	glutamate-ammonia ligase (glutamine synthetase)	37567
1454958_at	56637	10090	Gsk3b	glycogen synthase kinase 3 beta	55629
1447877_x_at	13433	10090	Dnmt1	DNA methyltransferase (cytosine-5) 1	124071
1456292_a_at	22352	10090	Vim	vimentin	2538
1428146_s_at	52538	10090	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	4456
1424540_at	15257	10090	Hipk1	homeodomain interacting protein kinase 1	56483
1417482_at	73679	10090	Tex19.1	testis expressed gene 19.1	75271
1443924_at	279561	10090	Wnk3	WNK lysine deficient protein kinase 3	32493
1452094_at	18451	10090	P4ha1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide	30998
1433582_at	68861	10090	1190002N15Rik	RIKEN cDNA 1190002N15 gene	18315
1422467_at	19063	10090	Ppt1	palmitoyl-protein thioesterase 1	7488
1428512_at	70237	10090	Bhlhb9	basic helix-loop-helix domain containing, class B9	12739
1436329_at	13655	10090	Egr3	early growth response 3	37923
1437723_s_at	67819	10090	Derl1	Der1-like domain family, member 1	11483
1433720_s_at	103172	10090	Chchd10	coiled-coil-helix-coiled-coil-helix domain containing 10	27885
1439852_at	-	-	-	-	-
1457292_at	75316	10090	Taf1d	TATA-box binding protein associated factor, RNA polymerase I, D	11472
1416636_at	19744	10090	Rheb	Ras homolog enriched in brain	123916
1418412_at	21987	10090	Tpd52l1	tumor protein D52-like 1	2468
1427186_a_at	17258	10090	Mef2a	myocyte enhancer factor 2A	4080
1452020_a_at	30954	10090	Siva1	SIVA1, apoptosis-inducing factor	4692
1418315_at	26423	10090	Nr5a1	nuclear receptor subfamily 5, group A, member 1	3638
1426749_at	71974	10090	Prmt3	protein arginine N-methyltransferase 3	24255
1452398_at	74055	10090	Plce1	phospholipase C, epsilon 1	9478
1452942_at	74868	10090	Tmem65	transmembrane protein 65	45494
1420696_at	20348	10090	Sema3c	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	36201
1449731_s_at	18035	10090	Nfkbia	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	7863
1439032_at	66296	10090	Haus2	HAUS augmin-like complex, subunit 2	10001
1417987_at	26363	10090	Btd	biotinidase	37255
1455070_at	70640	10090	Dcp2	decapping mRNA 2	13968
1452432_at	21788	10090	Tfpi	tissue factor pathway inhibitor	4579
1450641_at	22352	10090	Vim	vimentin	2538
1419428_a_at	14387	10090	Gaa	glucosidase, alpha, acid	37268
1450674_at	12568	10090	Cdk5	cyclin-dependent kinase 5	3623
1455854_a_at	231637	10090	Ssh1	slingshot homolog 1 (Drosophila)	41299
1449110_at	11852	10090	Rhob	ras homolog family member B	68377
1452146_a_at	226139	10090	Cox15	cytochrome c oxidase assembly protein 15	5848
1423982_at	14105	10090	Srsf10	serine/arginine-rich splicing factor 10	134051
1448434_at	22644	10090	Rnf103	ring finger protein 103	4146
1450449_a_at	75695	10090	Rilpl1	Rab interacting lysosomal protein-like 1	15619
1454792_s_at	109079	10090	Sephs1	selenophosphate synthetase 1	56558
1451086_s_at	19353	10090	Rac1	RAS-related C3 botulinum substrate 1	69035
1428233_at	432508	10090	Cpsf6	cleavage and polyadenylation specific factor 6	134126
1429427_s_at	21416	10090	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box	7564
1448279_at	56378	10090	Arpc3	actin related protein 2/3 complex, subunit 3	4178
1452828_at	231670	10090	Fbxo21	F-box protein 21	14145
1420811_a_at	12387	10090	Ctnnb1	catenin (cadherin associated protein), beta 1	1434
1423567_a_at	26444	10090	Psma7	proteasome (prosome, macropain) subunit, alpha type 7	105299
1426212_s_at	234371	10090	Tmem161a	transmembrane protein 161A	9853
1419839_x_at	28000	10090	Prpf19	pre-mRNA processing factor 19	6421
1436713_s_at	17263	10090	Meg3	maternally expressed 3	-
1429252_at	52898	10090	Rnasek	ribonuclease, RNase K	45475
1429252_at	104457	10090	0610010K14Rik	RIKEN cDNA 0610010K14 gene	12273
1424780_a_at	28193	10090	Reep3	receptor accessory protein 3	37401
1421205_at	11920	10090	Atm	ataxia telangiectasia mutated	30952
1434499_a_at	16832	10090	Ldhb	lactate dehydrogenase B	55647
1429817_at	74434	10090	Sohlh2	spermatogenesis and oogenesis specific basic helix-loop-helix 2	9864
1428122_s_at	72543	10090	Mvb12b	multivesicular body subunit 12B	25444
1434503_s_at	16784	10090	Lamp2	lysosomal-associated membrane protein 2	7809
1424200_s_at	72124	10090	Seh1l	SEH1-like (S. cerevisiae	68701
1416041_at	20393	10090	Sgk1	serum/glucocorticoid regulated kinase 1	48364
